OTIDES 100 2 0  1 11 021         -0.01219990     0.00000000           18i+     11101  055.5655 
OTIDES 100 2 0  1  1-112         -0.01176698    -0.02376708           Sa        1092  056.5545 
OTIDES 100 3 0  1  1-112          0.03721773    -0.03588334           Sa        1092  056.5545 
OTIDES 100 4 0  1  1-112         -0.00041578    -0.00005940           Sa        1092  056.5545 
OTIDES 100 5 0  1  1-112          0.00081999    -0.00000372           Sa        1092  056.5545 
OTIDES 100 6 0  1  1-112         -0.00064074     0.00086940           Sa        1092  056.5545 
OTIDES 100 7 0  1  1-112          0.00066300     0.00036400           Sa        1092  056.5545 
OTIDES 100 8 0  1  1-112         -0.00021400    -0.00012200           Sa        1092  056.5545 
OTIDES-10010 3 -1 20 012      0.82300450E-06 0.60932040E-06           Ssa-   3020102  057.5555 
OTIDES 10010 4 -1 20 012     -0.71280950E-08-0.79145345E-07           Ssa+   2020102  057.5555 
OTIDES-10010 4 -1 20 012     -0.28512625E-07 0.15788125E-06           Ssa-   3020102  057.5555 
OTIDES 10010 5 -1 20 012      0.21344975E-08 0.78927445E-08           Ssa+   2020102  057.5555 
OTIDES-10010 5 -1 20 012      0.46519995E-08-0.23367955E-08           Ssa-   3020102  057.5555 
OTIDES 10010 6 -1 20 012      0.11894946E-08-0.90472090E-09           Ssa+   2020102  057.5555 
OTIDES-10010 6 -1 20 012     -0.12363804E-08 0.29264410E-09           Ssa-   3020102  057.5555 
OTIDES 10010 7 -1 20 012     -0.14684536E-09-0.62024000E-11           Ssa+   2020102  057.5555 
OTIDES-10010 7 -1 20 012      0.12430124E-09-0.12818670E-09           Ssa-   3020102  057.5555 
OTIDES 10010 8 -1 20 012     -0.22870005E-11 0.21902810E-10           Ssa+   2020102  057.5555 
OTIDES-10010 8 -1 20 012      0.51155245E-11 0.91097500E-11           Ssa-   3020102  057.5555 
OTIDES 10010 9 -1 20 012     -0.51347090E-11 0.65390615E-11           Ssa+   2020102  057.5555 
OTIDES-10010 9 -1 20 012      0.12864870E-11-0.18878985E-11           Ssa-   3020102  057.5555 
OTIDES 1001010 -1 20 012     -0.45822250E-12-0.50317720E-12           Ssa+   2020102  057.5555 
OTIDES-1001010 -1 20 012     -0.70634050E-12 0.10355608E-11           Ssa-   3020102  057.5555 
OTIDES 10011 0 -1 20 012      0.21528190E-02-0.25458477E-04           Ssa+   2020102  057.5555 
OTIDES 10011 1 -1 20 012     -0.93095945E-04 0.43665328E-04           Ssa+   2020102  057.5555 
OTIDES-10011 1 -1 20 012     -0.16569255E-03-0.50686722E-04           Ssa-   3020102  057.5555 
OTIDES 10011 2 -1 20 012     -0.73482095E-05 0.25645315E-05           Ssa+   2020102  057.5555 
OTIDES-10011 2 -1 20 012     -0.58129905E-05 0.13045655E-05           Ssa-   3020102  057.5555 
OTIDES 10011 3 -1 20 012      0.24328775E-06 0.14706000E-06           Ssa+   2020102  057.5555 
OTIDES-10011 3 -1 20 012      0.46951825E-06 0.12365470E-05           Ssa-   3020102  057.5555 
OTIDES 10011 4 -1 20 012     -0.18380150E-07 0.27508365E-07           Ssa+   2020102  057.5555 
OTIDES-10011 4 -1 20 012     -0.12794835E-06 0.39655725E-07           Ssa-   3020102  057.5555 
OTIDES 10011 5 -1 20 012     -0.46327502E-10 0.57219692E-08           Ssa+   2020102  057.5555 
